s,w,l,height,delta_amp,generation
1.8679759239273856e-07,6.147252829535697e-07,1.9703378370328293e-07,1.565325754300004e-07,12.315848301501148,1
1.8917117526597996e-07,3.3982237436830117e-07,1.2566978226675668e-07,2.478683874149471e-07,1.2683947127487731,1
1.1367422144811338e-07,3.3641702479290976e-07,1.0603841882420562e-07,1.6133688724899335e-07,0.3272233234310167,1
1.753569793285096e-07,3.964234517404835e-07,1.2756626355800383e-07,1.5619620973717415e-07,0.57289713220388,1
1.589426441501161e-07,7e-07,1.6170570701165356e-07,1.5e-07,18.544050953183458,1
1.3715471437826208e-07,3.7039000078370783e-07,1.622505899453661e-07,2.346615766557803e-07,3.8198177687820873,1
1.573662150868282e-07,6.31966470260031e-07,1.309106757401125e-07,2.4630989347225763e-07,25.96287861623731,1
1.112585569251511e-07,3.6591595914326217e-07,2.0313473821893716e-07,2.793051773553111e-07,9.545231420150998,1
1.4614853780261648e-07,4.5287389482261076e-07,1e-07,2.3394300341991211e-07,3.5244480499036515,1
1.6657979215816828e-07,6.539005298887217e-07,1.5925007990451564e-07,1.602132406138088e-07,18.327440315172076,1
1.1016762790262316e-07,7e-07,1.2092817302703258e-07,1.8783593715114837e-07,24.291674807696854,1
1.4006104756592403e-07,5.595882476981033e-07,2.0214337906689423e-07,2.663707719659853e-07,4.133962393108067,1
1.8984977789255695e-07,7e-07,1.8634739176687542e-07,2.3424154536797467e-07,0.5005849101114173,1
1.554216653609463e-07,5.933950778861332e-07,2.0349854782997493e-07,2.616124822955778e-07,0.5450243407808641,1
1e-07,5.54583364147646e-07,1.600491111796143e-07,2.586147599477123e-07,12.295512987157636,1
1.463802904436247e-07,5.444105874799648e-07,2.0941053489034092e-07,2.756497852729109e-07,2.642338137177864,1
2.3260575278243087e-07,6.143904800541358e-07,2.437178107487473e-07,2.720882234535736e-07,0.976343399355095,1
1.8842147608628814e-07,5.257604420474296e-07,2.3335631704515935e-07,1.9230825071065742e-07,4.1410438616222365,1
2.029021851046175e-07,4.7254869718735756e-07,2.1770357708360697e-07,1.9542447131139086e-07,10.859066975330228,1
1.317191922382957e-07,7e-07,1.3134665221873723e-07,1.6104914098272676e-07,16.33063783598026,1
2.2128703852523562e-07,4.18056638941468e-07,1.906850640422371e-07,2.2799123897602332e-07,8.788148420811838,1
2.491803945236215e-07,4.469544112929414e-07,1.4623061557792948e-07,2.523865640176576e-07,10.042272790933746,1
1.575444303390477e-07,3e-07,2.1395989659789458e-07,2.1320714720072353e-07,0.8216890236970744,1
2.396061079628705e-07,4.1491728805287484e-07,1.9206362466081517e-07,2.3359294023404295e-07,8.121647164811247,1
1.16644133743623e-07,6.910934206251289e-07,1.2530389088952144e-07,2.0424704595708904e-07,26.12912336613115,1
2.339205373985598e-07,4.4371936688624447e-07,1.6041855214597977e-07,2.487418310408278e-07,10.161714080538673,1
1.5149000662962986e-07,7e-07,1e-07,1.5e-07,5.581233469018693,1
1.5359629399043274e-07,3.5520746606128096e-07,1.1620483389836967e-07,3e-07,1.4720197386344513,1
1.6106042178481603e-07,5.679518034420458e-07,1.1893618029352518e-07,1.561977312492437e-07,3.776452619332046,1
2.495500178628674e-07,5.265130981580887e-07,2.2962839176293278e-07,1.772825218848672e-07,1.5452674486299913,1
1.573662150868282e-07,6.31966470260031e-07,1.309106757401125e-07,2.4630989347225763e-07,24.37270898314478,2
1.112585569251511e-07,7e-07,1.2513520856686304e-07,1.6104914098272676e-07,17.67224846753743,2
1.573662150868282e-07,7e-07,1.3134665221873723e-07,1.6104914098272676e-07,14.932392293936093,2
1.6657979215816828e-07,6.539005298887217e-07,1.600491111796143e-07,2.586147599477123e-07,7.567753127826948,2
1.317191922382957e-07,7e-07,1.2092817302703258e-07,1.8783593715114837e-07,14.766470222611023,2
1.589426441501161e-07,7e-07,1.2092817302703258e-07,1.8783593715114837e-07,18.544050953183458,2
1.1016762790262316e-07,7e-07,1.2092817302703258e-07,1.8783593715114837e-07,14.698261238272247,2
1.573662150868282e-07,6.31966470260031e-07,1.3134665221873723e-07,1.6104914098272676e-07,24.37270898314478,2
1.573662150868282e-07,6.910934206251289e-07,1.2530389088952144e-07,2.1080977328883253e-07,27.033963629033398,2
1.573662150868282e-07,6.31966470260031e-07,1.2530389088952144e-07,2.0424704595708904e-07,24.37270898314478,2
1.112585569251511e-07,3.6591595914326217e-07,1.2530389088952144e-07,2.0424704595708904e-07,2.261320667085668,2
