Lambda,DC,w,height,S11,generation
1.278196109104033e-07,0.1,3e-07,3e-07,0.23256935540917323,1
4.594948849267661e-07,0.18463712497065005,6.548345037442852e-07,2.0964525297202945e-07,,1
2.573669699152572e-07,0.1194233984227215,3.158585767895966e-07,1.7186903411314804e-07,0.20688046469461183,1
3.465324327596177e-07,0.2088232828390134,3.9550562683037757e-07,2.64304545162946e-07,,1
1.6839584246802705e-07,0.1,3e-07,1.5e-07,0.22841099832386352,1
1e-07,0.1,3e-07,1.5e-07,0.2948033923108671,1
3.546113405604932e-07,0.6872941412927805,4.549719249973935e-07,2.5769500991583435e-07,,1
1e-07,0.1,3e-07,1.8369533123010967e-07,0.28345302825851215,1
2.4507052388058916e-07,0.14461094559846793,6.620455214373138e-07,1.616104745211109e-07,0.3135827922834427,1
1.7995058872691762e-07,0.1,3e-07,3e-07,0.17391614531143693,1
1.0182288602019675e-07,0.43430811491978105,6.616450959022294e-07,2.561451288258624e-07,,1
2.1243935316680143e-07,0.1,3e-07,3e-07,0.16258268636682977,1
1.116565723869732e-07,0.6565362684724497,3.557714640988623e-07,2.4351013256765257e-07,,1
1.9545190509490985e-07,0.632332151273007,6.242132550218795e-07,2.5678114315282705e-07,,1
4.685112728826236e-07,0.16684406931013376,3.5032823170193454e-07,1.7793346887396326e-07,,1
2.2409032273149368e-07,0.1,3e-07,1.6262678932162425e-07,0.22251295142132613,1
4.441775875435955e-07,0.29659192853562094,4.932699692776899e-07,1.5674801757611627e-07,,1
1.8598910497802153e-07,0.1,3e-07,2.2780445726305319e-07,0.1897914797597194,1
1e-07,0.1,3e-07,1.5422251002084126e-07,0.29832625376820904,1
1e-07,0.1,3e-07,2.7333399875598905e-07,0.2693110525664582,1
1.7924375416431179e-07,0.1,3e-07,2.322871649286295e-07,0.1914762662155069,1
2.1856838337942924e-07,0.1,3e-07,1.5e-07,0.2131377504716814,1
1.5593257983778232e-07,0.1,3e-07,1.5375814904953947e-07,0.25512576243873786,1
1.472954904390962e-07,0.1,3e-07,3e-07,0.2288754195003104,1
1.1250059785791629e-07,0.27355655169606075,3.1011501997452545e-07,1.6416029086119664e-07,0.3082654246692391,1
5.320391989633505e-07,0.7916772075825814,4.847122978493524e-07,1.9841884871974799e-07,,1
1.7084869115910443e-07,0.1,3e-07,2.673880234785969e-07,0.17982093638804766,1
4.021353704727843e-07,0.2852355323523027,4.554590357383378e-07,1.5097358946093966e-07,,1
4.852860045075257e-07,0.7881154622660198,4.208374636042122e-07,2.462837834320299e-07,,1
4.0562578381657874e-07,0.45597712489491715,4.060585436964176e-07,2.7057886457586127e-07,,1
1e-07,0.1,6.620455214373138e-07,1.616104745211109e-07,0.3424186043259867,2
1e-07,0.1,3e-07,1.6797963692775794e-07,0.3086524675554298,2
2.7264515639133505e-07,0.1,3e-07,2.7333399875598905e-07,0.1440856834695058,2
1e-07,0.1,3e-07,1.5e-07,0.2948033923108671,2
1e-07,0.27355655169606075,3.1011501997452545e-07,1.6416029086119664e-07,0.31214280815231404,2
2.4507052388058916e-07,0.1194233984227215,3.259802308898494e-07,1.7186903411314804e-07,0.21468149361797287,2
1.7995058872691762e-07,0.1,3e-07,1.5e-07,0.224654380394441,2
2.2409032273149368e-07,0.1,3e-07,3e-07,0.16011328470805086,2
1.1250059785791629e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.3525011802932635,2
2.573669699152572e-07,0.1194233984227215,3.158585767895966e-07,1.616104745211109e-07,0.2292705267525171,2
1.472954904390962e-07,0.6319115073963049,3e-07,1.5422251002084126e-07,0.22050883571710714,2
1.472954904390962e-07,0.1,3e-07,1.5422251002084126e-07,0.25882498113582036,2
1.472954904390962e-07,0.1,3e-07,2.322871649286295e-07,0.24304787513562412,2
2.573669699152572e-07,0.1194233984227215,3e-07,2.979442226334587e-07,0.14714927304315115,2
1e-07,0.1,6.965855150780017e-07,1.5422251002084126e-07,0.3369147201231974,2
1e-07,0.1,3e-07,3e-07,0.2651998401883226,2
1.1250059785791629e-07,0.27355655169606075,3.1011501997452545e-07,1.6416029086119664e-07,0.3082654246692391,2
1e-07,0.1,3e-07,1.5e-07,0.2948033923108671,2
1.6839584246802705e-07,0.1,3e-07,2.7333399875598905e-07,0.17987736186780046,2
2.4507052388058916e-07,0.14461094559846793,6.620455214373138e-07,1.5422251002084126e-07,0.30685242112463834,2
2.372481329476995e-07,0.1,3e-07,3e-07,0.1572521001987456,2
1e-07,0.1,3e-07,1.6416029086119664e-07,0.3013825942193522,2
2.4507052388058916e-07,0.14461094559846793,6.620455214373138e-07,1.616104745211109e-07,0.3135827922834427,2
1.1250059785791629e-07,0.27355655169606075,3e-07,1.8369533123010967e-07,0.27055982520666766,2
1e-07,0.14461094559846793,6.620455214373138e-07,1.616104745211109e-07,0.34247047480551773,2
1.472954904390962e-07,0.1,3.1011501997452545e-07,1.6416029086119664e-07,0.26378557919026163,2
1.472954904390962e-07,0.1,3e-07,3e-07,0.2288754195003104,2
1e-07,0.1,5.01008042183366e-07,3e-07,0.2595457803465346,2
1e-07,0.1,3e-07,1.5e-07,0.2948033923108671,2
2.0679956776423144e-07,0.1,6.620455214373138e-07,1.616104745211109e-07,0.3093415513090848,2
