Lambda,DC,w,height,Fitness,generation
2.1601628969989727e-07,0.1909590470953214,3.419068949904761e-07,2.490856934920347e-07,0.0,1
1.5259447988626827e-07,0.1,3e-07,1.956076633286792e-07,0.0,1
1.3418452857621583e-07,0.1,3e-07,1.6616862396715209e-07,0.0,1
1.731591313391076e-07,0.20029788874975055,6.329160354694271e-07,1.7810041513208953e-07,0.0,1
1.7826300310887343e-07,0.1,3e-07,1.5e-07,0.0,1
3.3723830750775053e-07,0.456640667979649,3.225404382047085e-07,1.9620980558596026e-07,0.0,1
5.956203496290109e-07,0.7952890365721513,5.938393246194798e-07,2.66975954797449e-07,27.6066342546507,1
1.8300380249356844e-07,0.1,3e-07,2.4135315742303064e-07,0.0,1
3.72710240658685e-07,0.27994142103949415,4.80742944216115e-07,1.699752729161204e-07,0.0,1
1.462208196255532e-07,0.1,3e-07,1.6533507481798636e-07,0.0,1
1.2745879295373476e-07,0.1,3e-07,1.5e-07,0.0,1
5.885749834501248e-07,0.43755429383621336,6.719181557480741e-07,2.1401093652404018e-07,7.990593993359354,1
