s,w,l,height,total_length,fitness_score,generation,fitness_strategy
2.1443080114119874e-07,5.04408367094589e-07,1.6232975648162072e-07,2.6491156140267693e-07,3.5121744774594114e-05,0.19359525552672913,1,lowpass
1.627526199235806e-07,4.2884525731939493e-07,1.0175286101806031e-07,2.640644374538876e-07,4.1970332601696584e-05,0.24709027471726516,1,lowpass
1.0389890810432808e-07,6.143884452661796e-07,1.7816997248721644e-07,2.0658303357426087e-07,4.392048824571379e-05,0.07083265833505244,1,lowpass
1e-07,4.7421497671503616e-07,1.9337160432801024e-07,2.5418754601493575e-07,3.363436354915806e-05,0.05819653295885916,1,lowpass
1.760424192068903e-07,4.1801985419494895e-07,2.0953755676012793e-07,2.7411483716801564e-07,3.4446082105860876e-05,0.17799968443921346,1,lowpass
1.872528334681189e-07,5.963669056430967e-07,1.544759661239817e-07,2.3119498412169655e-07,2.6800425939032672e-05,0.1042489087202209,1,lowpass
1.2193152775609818e-07,3.4984775541962863e-07,1.1633845919462921e-07,1.5e-07,4.680557229841319e-05,0.2856914873889862,1,lowpass
1.121417895588792e-07,7e-07,1e-07,2.1327489539229722e-07,3.4843549400122853e-05,0.11070113072724216,1,lowpass
2.4379034456394185e-07,5.212691113095296e-07,1.7842897784895482e-07,2.152648504309715e-07,3.2555214462331075e-05,0.21875270020112333,1,lowpass
1.7094585945242575e-07,3.043057314030976e-07,2.4019585293668454e-07,1.8122285089797885e-07,5.65739080495011e-06,0.2623773309046467,1,lowpass
1.328748117513669e-07,3.654397132904713e-07,2.0905482605614824e-07,2.0147248717512662e-07,4.691175954981724e-05,0.20329424565919957,1,lowpass
1.932217796441982e-07,6.882737893257262e-07,1.9804078760691042e-07,2.026161146930936e-07,2.1061309930420098e-05,0.2043364256353336,1,lowpass
1.0969984741572357e-07,6.459448492927202e-07,1.7695075522740923e-07,3e-07,4.518593213535831e-05,0.033989802699616024,1,lowpass
2.4199927761693327e-07,6.62578742458806e-07,1.9851686178005017e-07,1.547883054415719e-07,2.3283384368016792e-05,0.2570583023111405,1,lowpass
1.2296169429295822e-07,5.689027363333925e-07,1e-07,1.875978632421728e-07,4.455528364145221e-05,0.20101115652857862,1,lowpass
1.590341001051375e-07,6.020341827272665e-07,1.8791516959273746e-07,1.9184420705609607e-07,3.665999929510519e-05,0.13924560443276912,1,lowpass
1.6520004734169583e-07,3.147249199980622e-07,1.2172205659916302e-07,3e-07,3.433245244293414e-05,0.27042930859155145,1,lowpass
1.7012276302423142e-07,7e-07,1.9652934527810022e-07,2.639326978375063e-07,4.412344810221285e-05,0.31404391359308703,1,lowpass
1.2704239471605093e-07,6.986696509767183e-07,1.9443723372138218e-07,2.9123265251528903e-07,8.230631873583974e-06,0.04504204990122866,1,lowpass
2.1543413795874292e-07,6.417766100653926e-07,1.485493555800524e-07,1.5008287647113233e-07,2.695396961554849e-05,0.18564094282896426,1,lowpass
1.1455257886772796e-07,3.161860602563488e-07,1.3325290867872162e-07,2.02644446934012e-07,4.460586839236143e-05,0.2711885028577047,1,lowpass
1.271286382965867e-07,3e-07,1.7968415813688214e-07,1.5e-07,4.236952901480444e-05,0.28518809094648273,1,lowpass
1.6369587371284427e-07,3.9920353645943865e-07,1.2191774747923309e-07,2.0964346085695458e-07,4.7457791151953334e-05,0.2534447958031398,1,lowpass
1.4068202452179622e-07,6.982093046792173e-07,1.7579448463984893e-07,2.053934942268037e-07,3.720377004839592e-05,0.07958847750360257,1,lowpass
2.1743584120485605e-07,4.485987065751985e-07,1.4514108630926262e-07,2.6788268798707544e-07,2.8192632752963483e-05,0.20425258356149423,1,lowpass
1.5850112034391987e-07,3.8889464695011765e-07,1.9424041718354632e-07,2.853762147923553e-07,4.522600126208166e-05,0.18901827520222161,1,lowpass
2.2359931731601463e-07,3e-07,1.6809638115583466e-07,2.9122770265162226e-07,3.291774948425264e-05,0.25581256580150746,1,lowpass
1.8464811171718656e-07,4.433935448816348e-07,2.0505378047209048e-07,1.9112823045317894e-07,4.5884766559635825e-05,0.20350235150565135,1,lowpass
1e-07,5.878996607619313e-07,1.3444228028476071e-07,2.5185881725044263e-07,3.6947701483695394e-05,0.07624573220142765,1,lowpass
1.417855682789945e-07,3.208909817530756e-07,2.1910579289337887e-07,2.381995369435978e-07,3.64850674887364e-05,0.20969465985558042,1,lowpass
2.4884076490768285e-07,5.63858546837975e-07,1.9041188711346015e-07,1.8012016281633394e-07,2.0310901186869734e-05,0.2002795932108561,1,lowpass
1.3724831251848256e-07,4.718283473421253e-07,2.4778451036484686e-07,2.5195274004045256e-07,9.894339619685897e-06,0.08244916037226986,1,lowpass
1.9698677722194953e-07,4.775504466261476e-07,1e-07,2.82819544283888e-07,4.59884964331253e-05,0.22656849683980337,1,lowpass
1.4426025685885573e-07,5.134584155165396e-07,1.19184008261684e-07,2.87169257943896e-07,3.9084446163510875e-05,0.16114211689187596,1,lowpass
2.0916607925253388e-07,3.078442846807614e-07,2.0770734250550603e-07,2.232546277211098e-07,4.0260946171015646e-05,0.2624467509889875,1,lowpass
2.427809736961867e-07,6.181714428299476e-07,1.8168873788336844e-07,1.5570687745775218e-07,3.191395225680267e-05,0.220587098464368,1,lowpass
1.4676255234543255e-07,5.701452689820053e-07,2.4271849750263543e-07,1.5894518654362515e-07,1.1782968577572632e-05,0.12574737041208042,1,lowpass
1e-07,6.085373539791906e-07,1e-07,2.1846294949657848e-07,3.6101272225457954e-05,0.13943962101409457,1,lowpass
2.0311288058217479e-07,6.376310113761057e-07,2.329367050681166e-07,2.47441381685453e-07,3.99381355418157e-05,0.2999884280173525,1,lowpass
1.3678279092382188e-07,3.9738152765259157e-07,2.041732947509531e-07,1.7458955401925314e-07,3.403482642700485e-05,0.2053167989491173,1,lowpass
2.2042131038243143e-07,3.5423855940682605e-07,2.1729534302766747e-07,1.9866208392758164e-07,4.31100035060142e-05,0.253291639713496,1,lowpass
1.2816501978525613e-07,3.473645661387295e-07,1.4809915261423299e-07,2.474889557050012e-07,1.5505519058919017e-05,0.24730850807982077,1,lowpass
1.7125573999559415e-07,7e-07,1e-07,2.601323275658444e-07,4.452656019413488e-05,0.14256321656099674,1,lowpass
1.7827523985054302e-07,7e-07,2.196112020897068e-07,2.2657931335803405e-07,4.4209562108138345e-05,0.30015118238006094,1,lowpass
1.4936890894083497e-07,3.7335038194084253e-07,1.2771075840187565e-07,1.7244616588772308e-07,4.383493491824673e-05,0.2709915419783024,1,lowpass
1.8626408044437467e-07,5.342727876592497e-07,2.3675678800114549e-07,2.0935445642630636e-07,2.906440052705216e-05,0.2849400470507597,1,lowpass
1.873955080235865e-07,5.16309163452012e-07,1.4703232206081024e-07,2.4672484975884225e-07,3.782671715592712e-05,0.17065735783748587,1,lowpass
1.1176274730279336e-07,3.7990128075242624e-07,1.700684508052568e-07,1.891426473391065e-07,4.6335119026480766e-05,0.22292734030951608,1,lowpass
1.2603422893672154e-07,3.882628737323712e-07,1.6749630906705734e-07,2.4488446889754445e-07,3.509454052858943e-05,0.2005621147581539,1,lowpass
1.1119124549596256e-07,4.996596521371033e-07,2.162929524415839e-07,1.648927408812176e-07,3.9687731560759495e-05,0.14232366336499527,1,lowpass
1.7012276302423142e-07,7e-07,1.9652934527810022e-07,2.639326978375063e-07,4.412344810221285e-05,0.31404391359308703,2,lowpass
1.271286382965867e-07,3e-07,1.9851686178005017e-07,1.547883054415719e-07,2.198560579277735e-05,0.28653673279363157,2,lowpass
1.8626408044437467e-07,5.342727876592497e-07,1.2172205659916302e-07,3e-07,3.433245244293414e-05,0.1546221625921948,2,lowpass
2.0311288058217479e-07,6.376310113761057e-07,2.329367050681166e-07,2.47441381685453e-07,3.99381355418157e-05,0.2999884280173525,2,lowpass
1.271286382965867e-07,4.775504466261476e-07,1e-07,2.82819544283888e-07,4.59884964331253e-05,0.1954799908662148,2,lowpass
1.6520004734169583e-07,3.147249199980622e-07,1e-07,2.82819544283888e-07,4.59884964331253e-05,0.2827851328484658,2,lowpass
1.6520004734169583e-07,3.147249199980622e-07,1.2172205659916302e-07,3e-07,3.433245244293414e-05,0.27042930859155145,2,lowpass
1.7094585945242575e-07,3.043057314030976e-07,2.4019585293668454e-07,2.232546277211098e-07,4.0260946171015646e-05,0.2397152735897274,2,lowpass
1.627526199235806e-07,4.2884525731939493e-07,1.0175286101806031e-07,2.47441381685453e-07,3.99381355418157e-05,0.2531995026513871,2,lowpass
1.7012276302423142e-07,7e-07,2.196112020897068e-07,2.2657931335803405e-07,4.4209562108138345e-05,0.3007877179129439,2,lowpass
1.6369587371284427e-07,3.5423855940682605e-07,2.1729534302766747e-07,1.9866208392758164e-07,4.31100035060142e-05,0.23643159799552205,2,lowpass
2.2359931731601463e-07,3e-07,1.6809638115583466e-07,1.8720261995391313e-07,4.412344810221285e-05,0.2860935903292595,2,lowpass
1.417855682789945e-07,4.527104447266717e-07,2.1910579289337887e-07,2.381995369435978e-07,4.460586839236143e-05,0.1513393908710374,2,lowpass
2.0916607925253388e-07,3.078442846807614e-07,2.3256531956075914e-07,2.0935445642630636e-07,2.906440052705216e-05,0.25721062196983546,2,lowpass
1.8626408044437467e-07,5.342727876592497e-07,2.3675678800114549e-07,1.547883054415719e-07,2.3283384368016792e-05,0.18535763652818577,2,lowpass
1.4936890894083497e-07,3.7335038194084253e-07,1.2771075840187565e-07,2.0935445642630636e-07,2.906440052705216e-05,0.2566506632450907,2,lowpass
1.2193152775609818e-07,3.4984775541962863e-07,1.1633845919462921e-07,1.704689510797382e-07,4.412344810221285e-05,0.27972141265658795,2,lowpass
2.0311288058217479e-07,6.376310113761057e-07,2.329367050681166e-07,2.474889557050012e-07,1.702158827688048e-05,0.29998459107258185,2,lowpass
1.8626408044437467e-07,7e-07,1.9652934527810022e-07,2.639326978375063e-07,4.412344810221285e-05,0.30070174836861635,2,lowpass
2.0916607925253388e-07,3.078442846807614e-07,2.0770734250550603e-07,2.02644446934012e-07,4.460586839236143e-05,0.27001736280538596,2,lowpass
1.7827523985054302e-07,3.4984775541962863e-07,1.1633845919462921e-07,1.5e-07,4.680557229841319e-05,0.2933183875987513,2,lowpass
1.4707167659290305e-07,3e-07,1.7968415813688214e-07,1.5e-07,4.236952901480444e-05,0.2882238700154564,2,lowpass
1.271286382965867e-07,3e-07,1.7968415813688214e-07,1.5e-07,4.236952901480444e-05,0.28518809094648273,2,lowpass
1.7827523985054302e-07,7e-07,2.196112020897068e-07,2.2657931335803405e-07,4.276885155816464e-05,0.30017464080089357,2,lowpass
1.1455257886772796e-07,3.161860602563488e-07,1.3325290867872162e-07,2.02644446934012e-07,4.236952901480444e-05,0.27160792427408165,2,lowpass
1.1176274730279336e-07,3.7990128075242624e-07,1.700684508052568e-07,1.891426473391065e-07,4.236952901480444e-05,0.22270079057419664,2,lowpass
1.271286382965867e-07,3e-07,2.196112020897068e-07,2.2657931335803405e-07,4.4209562108138345e-05,0.23261828740321946,2,lowpass
1.7012276302423142e-07,7e-07,1.9652934527810022e-07,2.639326978375063e-07,4.412344810221285e-05,0.31404391359308703,2,lowpass
1.7094585945242575e-07,3.043057314030976e-07,2.4019585293668454e-07,1.8122285089797885e-07,2.906440052705216e-05,0.25724517546953524,2,lowpass
1.2816501978525613e-07,3.473645661387295e-07,1.1633845919462921e-07,1.5e-07,4.680557229841319e-05,0.2874155731758637,2,lowpass
1.7012276302423142e-07,7e-07,1.9652934527810022e-07,2.639326978375063e-07,4.3677787246198774e-05,0.3150015759531806,2,lowpass
